English,Marathi
me/I,mala
today,aaj
sleep,zop
come,yete
you,tu
how,kasa
are,aahes
I,mi
very,khup
happy,khush
you (object case),tula
what,kay
want,hava
school,school
go,jato
her,tichya
house (locative case),gharat
party,party
is,ahe
hot,garam
beautiful,sundar
tea,chai
took,ghetla
like,avadta
me/I,mala
today,aaj
sleep,zop
come,yete
you,tu
how,kasa
are,aahes
I,mi
very,khup
happy,khush
you (object case),tula
what,kay
want,hava
school,school
go,jato
her,tichya
house (locative case),gharat
party,party
is,ahe
hot,garam
beautiful,sundar
tea,chai
took,ghetla
like,avadta
education,shikshan
my,maza
meet,bhet
food,khana
water,pani
tell,saang
good,bari
go on,chalu
subject,vishay
to you,tula
need,pahije
fun,masta
chat,gappa
prosperous,khushal
life,jivan
means,manje
trust,vishwas
friend,saathi
door,darwaja
car,gadi
TRUE,khare
market,bajaar
peace,shanti
tomorrow,udya
watch,pahata
join,jod
expense,kharch
path,vat
mine,maza
calm,shant
to you,tula
me/I,mala
today,aaj
sleep,zop
come,yete
you,tu
how,kasa
are,aahes
I,mi
very,khup
happy,khush
you (object case),tula
what,kay
want,hava
school,school
go,jato
her,tichya
house (locative case),gharat
party,party
is,ahe
hot,garam
beautiful,sundar
tea,chai
took,ghetla
like,avadta
education,shikshan
my,maza
meet,bhet
food,khana
water,pani
tell,saang
good,bari
go on,chalu
subject,vishay
to you,tula
need,pahije
fun,masta
chat,gappa
prosperous,khushal
life,jivan
means,manje
trust,vishwas
friend,saathi
door,darwaja
car,gadi
TRUE,khare
market,bajaar
peace,shanti
tomorrow,udya
watch,pahata
join,jod
expense,kharch
path,vat
mine,maza
calm,shant
to you,tula
way,raasta
field,maidan
very much,khupach
rest,vishram
teacher,shikshak
student,vidyarthi
book,pustak
art,kalat
pride,abhiman
importance,mahimat
destruction,nashik
world,jag
heavy,bhari
treatment,chikitsa
city,shahar
home,ghar
garden,udyan
method,padhat
topic,vishay
active,chalu
entertainment,manoranjan
teach,shikav
thought,vichar
happiness,khushiya
me/I,mala
today,aaj
sleep,zop
come,yete
you,tu
how,kasa
are,aahes
I,mi
very,khup
happy,khush
you (object case),tula
what,kay
want,hava
school,school
go,jato
her,tichya
house (locative case),gharat
party,party
is,ahe
hot,garam
beautiful,sundar
tea,chai
took,ghetla
like,avadta
education,shikshan
my,maza
meet,bhet
food,khana
water,pani
tell,saang
good,bari
go on,chalu
subject,vishay
to you,tula
need,pahije
fun,masta
chat,gappa
prosperous,khushal
life,jivan
means,manje
trust,vishwas
friend,saathi
door,darwaja
car,gadi
TRUE,khare
market,bajaar
peace,shanti
tomorrow,udya
watch,pahata
join,jod
expense,kharch
path,vat
mine,maza
calm,shant
to you,tula
way,raasta
field,maidan
very much,khupach
rest,vishram
teacher,shikshak
student,vidyarthi
book,pustak
art,kalat
pride,abhiman
importance,mahimat
destruction,nashik
world,jag
heavy,bhari
treatment,chikitsa
city,shahar
home,ghar
garden,udyan
method,padhat
topic,vishay
active,chalu
entertainment,manoranjan
teach,shikav
thought,vichar
happiness,khushiya
special,vishesh
significance,mahimat
question,prashna
answer,uttar
amusement,manoranjan
main,mukhya
time,samay
chief,mukhya
competition,pratiyogita
wealth,sampatti
learning,shiksha
letter,akshar
knowledge,vidya
mind,manas
thoughtful,manogat
reason,karan
goodness,saad
teaching,shikshana
exam,pariksha
loss,nashik
capability,saamarthya
faith,vishwas
excellent,uttam
progress,pragati
value,mahatva
effort,shram
still,ajun
each,pratyek
new,navi
old,pura
to you,tula
successful,khushal
Maharashtra,maharashtra
bear,bhalu
book,pustaka
to you,tula
medicine,chikitsa
praise,prashansa
research,shodh
expert,visheshagya
important,mahatvapurna
environment,paryavaran
society,samaj
thoughtful,manogat
educator,shikshak
matter,vishay
speed,gati
instruction,shikshan
belief,vishwas
response,uttara
value,mahimat
view,darshan
entertainment,manoranjan
first,pahila
primary,mukhya
new,navi
complete,pura
confidence,vishwas
education,shikshan
significant,mahatvapurna
unique,vishesh
observing,pahata
failure,nashik
meeting,bhet
me/I,mala
today,aaj
sleep,zop
come,yete
you,tu
how,kasa
are,aahes
I,mi
very,khup
happy,khush
you (object case),tula
what,kay
want,hava
school,school
go,jato
her,tichya
house (locative case),gharat
party,party
is,ahe
hot,garam
beautiful,sundar
tea,chai
took,ghetla
like,avadta
education,shikshan
my,maza
meet,bhet
food,khana
water,pani
tell,saang
good,bari
go on,chalu
subject,vishay
to you,tula
need,pahije
fun,masta
chat,gappa
prosperous,khushal
life,jivan
means,manje
trust,vishwas
friend,saathi
door,darwaja
car,gadi
TRUE,khare
market,bajaar
peace,shanti
tomorrow,udya
watch,pahata
join,jod
expense,kharch
path,vat
mine,maza
calm,shant
to you,tula
way,raasta
field,maidan
very much,khupach
rest,vishram
teacher,shikshak
student,vidyarthi
book,pustak
art,kalat
pride,abhiman
importance,mahimat
destruction,nashik
world,jag
heavy,bhari
treatment,chikitsa
city,shahar
home,ghar
garden,udyan
method,padhat
topic,vishay
active,chalu
entertainment,manoranjan
teach,shikav
thought,vichar
happiness,khushiya
special,vishesh
significance,mahimat
question,prashna
answer,uttar
amusement,manoranjan
main,mukhya
time,samay
chief,mukhya
competition,pratiyogita
wealth,sampatti
learning,shiksha
letter,akshar
knowledge,vidya
mind,manas
thoughtful,manogat
reason,karan
goodness,saad
teaching,shikshana
exam,pariksha
loss,nashik
capability,saamarthya
faith,vishwas
excellent,uttam
progress,pragati
value,mahatva
effort,shram
still,ajun
each,pratyek
new,navi
old,pura
to you,tula
successful,khushal
Maharashtra,maharashtra
bear,bhalu
book,pustaka
to you,tula
medicine,chikitsa
praise,prashansa
research,shodh
expert,visheshagya
important,mahatvapurna
environment,paryavaran
society,samaj
thoughtful,manogat
educator,shikshak
matter,vishay
speed,gati
instruction,shikshan
belief,vishwas
response,uttara
value,mahimat
view,darshan
entertainment,manoranjan
first,pahila
primary,mukhya
new,navi
complete,pura
confidence,vishwas
education,shikshan
significant,mahatvapurna
unique,vishesh
observing,pahata
failure,nashik
meeting,bhet
research,shodh
specialist,visheshagya
crucial,mahatvapurna
surroundings,paryavaran
community,samaj
thoughtful,manogat
teacher,shikshak
issue,vishay
velocity,gati
training,shikshan
trust,vishwas
reply,uttara
data,mahimat
perspective,darshan
fun,manoranjan
initial,pahila
chief,mukhya
fresh,navi
whole,pura
belief,vishwas
schooling,shikshan
vital,mahatvapurna
